Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
DCI CULLMAN,12563,-,1734 EVA ROAD NE ,CULLMAN,AL,35055,8,7,7.71%,Achievement,99.09%,Achievement,70.20%,78.32%,Achievement,88.57%,91.96%,Achievement,74.66%,72.55%,Achievement,78.56%,79.66%,Achievement,74.89%,78.05%,Achievement,10,-,9,10,-,10,8,-,0.772,98,19,24.6,0.96,27,28.118,Achievement,5,5,82,No Reduction,04-01-1996,"DIALYSIS CLINIC, INC.",24-10-2009
SOUTH BALDWIN DIALYSIS CENTER,12565,-,150 W PEACHTREE AVE ,FOLEY,AL,36535,8,9,4.49%,Improvement,95.36%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,9,-,0.699,23,5,6.696,0.499,3,6.006,Achievement,5,5,72,No Reduction,02-04-1996,DAVITA,11-07-2000
FMC SYLACAUGA,12566,-,314 WEST SPRING STREET ,SYLACAUGA,AL,35150,8,6,9.04%,Achievement,98.65%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,5,-,0.927,52,14,15.096,1.171,15,12.814,Achievement,5,5,67,No Reduction,16-07-1996,FRESENIUS MEDICAL CARE,24-10-2009
FMC PARKWAY,12568,-,1311 N MEMORIAL PKWY STE 100 ,HUNTSVILLE,AL,35801,8,5,10.78%,Achievement,98.17%,N/A,No Rate,63.16%,N/A,No Rate,73.29%,N/A,No Rate,54.67%,N/A,No Rate,54.81%,N/A,No Rate,51.31%,N/A,10,-,9,10,-,10,7,-,0.912,80,11,12.061,1.882,33,17.533,Improvement,5,5,72,No Reduction,03-09-1996,FRESENIUS MEDICAL CARE,02-01-1980
NORTHPORT DIALYSIS,12570,-,2401 HOSPITAL DRIVE ,NORTHPORT,AL,35476,8,5,10.84%,Achievement,95.12%,Achievement,65.81%,57.62%,Achievement,81.82%,73.65%,Achievement,79.34%,69.38%,Achievement,81.01%,55.61%,Achievement,76.05%,64.71%,Achievement,10,-,9,10,-,10,1,-,1.226,134,47,38.341,1.122,49,43.659,Achievement,5,5,50,0.50%,03-12-1996,DAVITA,19-04-2011
DCI GEORGIANA,12571,-,715 MEETING ST ,GEORGIANA,AL,36033,8,9,4.10%,Achievement,96.55%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,10,-,0.246,33,2,8.125,0.257,1,3.891,Achievement,5,5,78,No Reduction,31-12-1996,"DIALYSIS CLINIC, INC.",24-10-2009
FMC CAMELLIA,12572,-,350 PAUL STABLER DRIVE ,GREENVILLE,AL,36037,8,0,17.26%,Achievement,96.91%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,0,-,1.331,79,26,19.53,0.482,5,10.376,Achievement,5,5,44,1.00%,12-02-1997,FRESENIUS MEDICAL CARE,19-08-2016
DCI BIRMINGHAM,12573,-,8713 PARKWAY EAST ,BIRMINGHAM,AL,35206,8,10,0.00%,Achievement,99.00%,Achievement,77.64%,82.39%,Achievement,87.91%,93.41%,Achievement,72.96%,79.43%,Achievement,88.55%,77.26%,Achievement,87.32%,89.60%,Achievement,10,-,9,10,-,10,4,-,1.004,31,8,7.067,0.339,3,8.841,Achievement,5,5,72,No Reduction,18-12-1997,"DIALYSIS CLINIC, INC.",24-10-2009
FMC CHAMBERS,12574,-,802 HOSPITAL STREET ,LAFAYETTE,AL,36862,8,8,5.26%,Achievement,99.70%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.799,39,8,9.863,No Ratio,N/A,N/A,Achievement,5,5,83,No Reduction,10-06-1997,FRESENIUS MEDICAL CARE,10-06-1997
RCG WALKER,12575,-,3510 3RD STREET NE ,JASPER,AL,35504,8,9,3.64%,Improvement,97.75%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,0,-,1.522,88,37,24.315,0.762,11,14.443,Achievement,5,5,44,1.00%,08-01-1998,FRESENIUS MEDICAL CARE,18-03-2011
DCI MONTGOMERY,12576,-,544 SOUTH MCDONOUGH STREET ,MONTGOMERY,AL,36104,8,5,10.75%,Improvement,90.79%,Achievement,44.56%,No Rate,Achievement,75.46%,No Rate,Achievement,49.85%,No Rate,Achievement,40.93%,No Rate,Achievement,55.65%,No Rate,Achievement,10,-,9,10,-,10,7,-,0.808,83,18,22.265,0.922,16,17.352,Achievement,5,5,48,1.00%,05-06-1998,"DIALYSIS CLINIC, INC.",02-01-1980
RCG SOUTHSIDE,12578,-,2131 MAGNOLIA AVE SOUTH #100 ,BIRMINGHAM,AL,35205,8,6,7.94%,Achievement,92.50%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,0,-,1.343,59,21,15.64,0.699,13,18.591,Achievement,5,5,36,1.50%,18-06-1998,FRESENIUS MEDICAL CARE,27-09-2012
FMC DAUPHIN ISLAND PKWY,12579,-,2381 DAUPHIN ISLAND PARKWAY ,MOBILE,AL,36605,8,9,3.83%,Achievement,97.47%,Achievement,57.05%,53.34%,Achievement,78.09%,79.33%,Achievement,53.69%,47.16%,Achievement,64.22%,35.28%,Improvement,62.99%,33.11%,Improvement,10,-,9,10,-,10,1,-,1.253,99,32,25.531,0.844,16,18.96,Achievement,5,5,52,0.50%,08-07-1998,FRESENIUS MEDICAL CARE,02-01-1980
FMC THOMASVILLE,12580,-,30230 HWY 43 ,THOMASVILLE,AL,36784,8,7,6.73%,Achievement,89.89%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,10,-,10,4,-,1.056,70,21,19.879,1.083,17,15.7,Achievement,5,5,46,1.00%,15-09-1998,FRESENIUS MEDICAL CARE,20-05-2011
FMC WILCOX,12582,-,229 CAMDEN BYPASS ,CAMDEN,AL,36726,8,6,8.62%,Achievement,99.38%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,10,-,0.376,36,3,7.983,0.309,2,6.463,Achievement,5,5,88,No Reduction,04-11-1998,FRESENIUS MEDICAL CARE,11-07-2000
BESSEMER DIALYSIS,12583,-,901 WESTLAKE MALL STE 101,BESSEMER,AL,35020,8,2,15.57%,Improvement,93.49%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,9,-,0.631,30,5,7.929,1.292,19,14.706,Achievement,5,5,54,0.50%,01-08-1998,DAVITA,11-01-2017
ENSLEY DIALYSIS,12585,-,2630 AVENUE E ,BIRMINGHAM,AL,35218,8,5,10.13%,Achievement,96.83%,Achievement,46.96%,51.47%,Achievement,73.37%,76.62%,Achievement,35.69%,25.99%,Improvement,35.46%,31.03%,Achievement,47.36%,37.90%,Improvement,10,-,9,10,-,10,7,-,0.778,71,16,20.557,0.903,25,27.671,Achievement,5,5,52,0.50%,01-08-1998,DAVITA,02-01-1980
SYLACAUGA DIALYSIS,12588,-,331 JAMES PAYTON BLVD ,SYLACAUGA,AL,35150,8,4,12.22%,Achievement,95.17%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,8,-,0.744,67,13,17.473,0.512,6,11.719,Achievement,5,5,42,1.00%,01-08-1998,DAVITA,17-03-2017
BIRMINGHAM NORTH DIALYSIS,12589,-,1917 32ND AVENUE NORTH ,BIRMINGHAM,AL,35207,8,5,10.72%,Achievement,97.92%,Achievement,75.14%,67.51%,Achievement,82.27%,84.09%,Achievement,72.55%,56.08%,Achievement,69.73%,66.33%,Achievement,74.86%,67.70%,Achievement,10,-,9,10,-,10,0,-,1.357,70,29,21.37,1.102,20,18.155,Achievement,5,5,52,0.50%,01-08-1998,DAVITA,19-10-2002
DCI MOULTON,12590,-,1962 MAIN STREET ,MOULTON,AL,35650,8,9,3.86%,Achievement,91.21%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.881,46,11,12.491,1.276,15,11.755,Achievement,5,5,56,0.50%,16-03-1999,"DIALYSIS CLINIC, INC.",16-03-1999
FMC SHELBY,12591,-,1022 FIRST STREET NORTH SUITE 101,ALABASTER,AL,35007,8,5,10.36%,Achievement,98.39%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.229,67,24,19.521,0.941,17,18.065,Achievement,5,5,61,No Reduction,08-04-1999,FRESENIUS MEDICAL CARE,14-07-2015
BIRMINGHAM CENTRAL DIALYSIS,12592,-,728 RICHARD ARRINGTON BLVD S ,BIRMINGHAM,AL,35233,8,2,18.46%,Achievement,97.48%,Achievement,46.74%,53.43%,Achievement,73.59%,79.99%,Achievement,51.55%,54.21%,Achievement,47.23%,38.27%,Improvement,52.81%,47.58%,Achievement,10,-,9,10,-,10,2,-,1.137,52,16,14.077,0.589,8,13.575,Achievement,5,5,45,1.00%,01-08-1998,DAVITA,28-08-2016
FMC ODYSSEY DIALYSIS,12593,-,40 HUGHES ROAD ,MADISON,AL,35758,8,6,8.74%,Achievement,94.00%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,4,-,1.044,55,13,12.449,1.051,12,11.419,Achievement,5,5,60,No Reduction,05-05-1999,FRESENIUS MEDICAL CARE,02-01-1980
BOAZ DIALYSIS,12594,-,16 CENTRAL HENDERSON ROAD ,BOAZ,AL,35957,8,9,4.04%,Achievement,98.72%,Achievement,70.70%,64.26%,Achievement,82.26%,74.85%,Achievement,66.48%,57.19%,Achievement,77.56%,68.38%,Achievement,79.70%,78.29%,Achievement,10,-,9,10,-,10,6,-,0.88,82,20,22.716,1.083,14,12.925,Achievement,5,5,73,No Reduction,30-06-1999,DAVITA,26-02-2016
RCG FORT PAYNE,12595,-,2202 JORDAN ROAD SW SUITE 100,FORT PAYNE,AL,35968,8,10,1.29%,Achievement,98.57%,N/A,No Rate,74.31%,N/A,No Rate,91.13%,N/A,No Rate,67.76%,N/A,No Rate,81.56%,N/A,No Rate,87.01%,N/A,10,-,9,10,-,10,8,-,0.765,43,8,10.452,1.065,13,12.208,Achievement,5,5,90,No Reduction,01-05-1999,FRESENIUS MEDICAL CARE,30-08-2016
FKC MONTGOMERY,12596,-,3625 MCGEHEE PLACE DRIVE NORTH ,MONTGOMERY,AL,36111,8,2,14.62%,Achievement,91.88%,Achievement,54.30%,44.13%,Improvement,73.20%,68.36%,Improvement,56.59%,50.45%,Achievement,45.11%,29.22%,Improvement,58.37%,40.34%,Improvement,8,-,9,10,-,10,3,-,1.121,152,42,37.451,1.224,39,31.85,Achievement,5,5,39,1.00%,11-08-1999,FRESENIUS MEDICAL CARE,26-07-2017
FMC BAY MINETTE,12597,-,2505 HAND AVENUE ,BAY MINETTE,AL,36507,8,10,0.46%,Achievement,97.15%,Achievement,60.43%,No Rate,Achievement,77.44%,No Rate,Achievement,65.37%,No Rate,Achievement,50.24%,No Rate,Achievement,58.85%,No Rate,Achievement,7,-,9,10,-,10,4,-,1.058,67,17,16.074,0.834,8,9.589,Achievement,5,5,57,0.50%,27-10-1999,FRESENIUS MEDICAL CARE,02-11-2015
DCI PHENIX CITY,12598,-,1611 21ST COURT ,PHENIX CITY,AL,36867,8,10,2.84%,Achievement,96.97%,Achievement,87.68%,86.20%,Achievement,87.57%,89.67%,Achievement,83.13%,85.78%,Achievement,95.28%,85.58%,Achievement,97.34%,93.94%,Achievement,10,-,9,10,-,10,8,-,0.741,38,6,7.988,1.535,14,9.12,Achievement,5,5,83,No Reduction,09-02-2000,"DIALYSIS CLINIC, INC.",24-10-2009
FMC PORT CITY,12599,-,"201 ST. JOSEPH STREET, SUITE B ",MOBILE,AL,36602,8,6,8.87%,Achievement,93.12%,N/A,No Rate,48.87%,N/A,No Rate,74.30%,N/A,No Rate,29.34%,N/A,No Rate,45.86%,N/A,No Rate,48.70%,N/A,10,-,9,10,-,10,6,-,0.85,90,20,23.523,0.685,18,26.296,Achievement,5,5,48,1.00%,07-02-2001,FRESENIUS MEDICAL CARE,02-09-2005
ATMORE DIALYSIS CENTER,12600,-,807 EAST CRAIG STREET ,ATMORE,AL,36502,8,2,14.45%,Achievement,96.62%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,2,-,1.172,64,21,17.925,0.859,14,16.306,Achievement,5,5,48,1.00%,14-03-2001,DAVITA,15-03-2001
FMC WEST,12601,-,633 LOMB AVENUE ,BIRMINGHAM,AL,35211,8,7,6.62%,Achievement,96.34%,N/A,No Rate,49.55%,N/A,No Rate,79.66%,N/A,No Rate,38.02%,N/A,No Rate,45.28%,N/A,No Rate,51.17%,N/A,10,-,9,10,-,10,2,-,1.189,91,28,23.554,0.93,28,30.098,Achievement,5,5,53,0.50%,27-03-2001,FRESENIUS MEDICAL CARE,17-09-2004
RUSSELLVILLE DIALYSIS,12602,-,14897 HWY 43 ,RUSSELLVILLE,AL,35653,8,9,3.44%,Achievement,95.40%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,5,-,0.979,38,9,8.876,0.793,7,8.826,Achievement,5,5,64,No Reduction,20-06-2001,GAMBRO HEALTHCARE,21-06-2001
FMC FAIRFIELD (STEEL CITY),12603,-,6508 E. J. OLIVER BLVD ,FAIRFIELD,AL,35064,8,10,1.82%,Improvement,97.05%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,6,-,0.846,39,8,9.283,0.845,8,9.471,Achievement,5,5,65,No Reduction,16-10-2001,RENAL CARE GROUP INC.,16-08-2008
RCG CLANTON,12604,-,275 HEALTH CENTER DRIVE ,CLANTON,AL,35045,8,9,4.08%,Achievement,98.47%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,6,-,0.913,41,9,9.79,1.145,15,13.101,Achievement,5,5,76,No Reduction,27-03-2002,FRESENIUS MEDICAL CARE,03-02-2010
FMC CHASE,12606,-,1849 KEATS DRIVE NORTHWEST ,HUNTSVILLE,AL,35810,8,4,12.49%,Achievement,95.73%,Achievement,46.71%,48.92%,Achievement,74.70%,70.69%,Improvement,66.51%,63.60%,Achievement,44.64%,47.81%,Achievement,40.90%,56.43%,Achievement,9,-,9,10,-,10,2,-,1.144,126,36,31.455,1.028,26,25.286,Achievement,5,5,46,1.00%,19-09-2002,FRESENIUS MEDICAL CARE,16-09-2002
ROANOKE DIALYSIS CLINIC,12607,-,4459 US HIGHWAY 431 ,ROANOKE,AL,36274,8,10,2.12%,Achievement,99.38%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,10,-,0.6,26,5,8.338,1.01,10,9.905,Achievement,5,5,92,No Reduction,29-01-2003,FRESENIUS MEDICAL CARE,01-11-2015
RCG ONEONTA,12608,-,"150 GILBREATH DRIVE, SUITE 1 ",ONEONTA,AL,35121,8,9,3.74%,Achievement,98.76%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,7,-,0.827,25,5,5.244,0.442,3,6.787,Achievement,5,5,89,No Reduction,26-03-2003,FRESENIUS MEDICAL CARE,13-05-2011
EUFAULA DIALYSIS,12609,-,220 SOUTH ORANGE AVE ,EUFAULA,AL,36027,8,10,1.17%,Achievement,98.47%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.814,22,6,6.186,0.597,7,11.733,Achievement,5,5,87,No Reduction,09-04-2003,DAVITA,11-06-2011
FMC MAGNOLIA,12610,-,7940 MOFFETT ROAD ,SEMMES,AL,36575,8,9,4.27%,Achievement,96.76%,Achievement,68.33%,55.88%,Achievement,79.98%,78.62%,Achievement,52.74%,57.87%,Achievement,62.72%,68.93%,Achievement,73.55%,75.82%,Achievement,10,-,9,10,-,10,7,-,0.829,87,18,21.708,0.752,15,19.952,Achievement,5,5,57,0.50%,14-05-2003,FRESENIUS MEDICAL CARE,02-05-2003
FMC DALLAS COUNTY,12611,-,200 SOUTH PARK PL ,SELMA,AL,36701,8,8,5.63%,Achievement,97.67%,Improvement,64.01%,50.45%,Achievement,80.06%,78.01%,Achievement,55.77%,33.26%,Improvement,59.34%,38.91%,Improvement,68.82%,51.14%,Achievement,9,-,9,10,-,10,9,-,0.686,71,11,16.041,1.186,13,10.958,Achievement,5,5,73,No Reduction,19-12-2003,FRESENIUS MEDICAL CARE,24-10-2009
FMC GARDENDALE,12612,-,592 FIELDSTOWN ROAD SUITE 102,GARDENDALE,AL,35071,8,6,9.37%,Achievement,96.04%,N/A,No Rate,51.64%,N/A,No Rate,77.66%,N/A,No Rate,62.41%,N/A,No Rate,46.58%,N/A,No Rate,44.89%,N/A,9,-,9,10,-,10,7,-,0.835,57,11,13.168,1.202,23,19.136,Achievement,5,5,63,No Reduction,17-12-2003,FRESENIUS MEDICAL CARE,23-03-2011
FMC DISCOVERY,12613,-,"1131 EAGLETREE LN, STE100 ",HUNTSVILLE,AL,35801,8,8,6.16%,Achievement,96.90%,N/A,No Rate,53.69%,N/A,No Rate,65.57%,N/A,No Rate,52.12%,N/A,No Rate,65.24%,N/A,No Rate,73.21%,N/A,10,-,9,10,-,10,7,-,0.815,53,10,12.276,0.766,14,18.284,Achievement,5,5,72,No Reduction,17-03-2004,FRESENIUS MEDICAL CARE,15-09-2015
FMC VALLEY CREEK,12614,-,201 LINCOLN LANE ,SELMA,AL,36701,8,6,8.05%,Achievement,96.42%,N/A,No Rate,61.11%,N/A,No Rate,85.51%,N/A,No Rate,60.70%,N/A,No Rate,53.89%,N/A,No Rate,73.14%,N/A,8,-,9,10,-,10,5,-,0.928,84,19,20.471,1.063,20,18.807,Achievement,5,5,55,0.50%,07-04-2004,FRESENIUS MEDICAL CARE,24-05-2017
FMC AUBURN,12615,-,211 E UNIVERSITY DR ,AUBURN,AL,36832,8,7,6.54%,Achievement,95.23%,Achievement,59.55%,56.00%,Achievement,80.91%,77.94%,Achievement,64.60%,64.33%,Achievement,47.78%,54.30%,Achievement,53.71%,57.18%,Achievement,9,-,9,10,-,10,10,-,0.497,65,7,14.086,0.79,7,8.865,Achievement,5,5,70,No Reduction,23-06-2004,FRESENIUS MEDICAL CARE,11-05-2004
LANDMARK DIALYSIS,12616,-,717 STONE AVE ,TALLADEGA,AL,35160,8,4,11.98%,Achievement,99.29%,N/A,No Rate,65.17%,N/A,No Rate,78.16%,N/A,No Rate,60.39%,N/A,No Rate,64.91%,N/A,No Rate,73.33%,N/A,10,-,9,10,-,10,1,-,1.205,63,23,19.084,0.711,13,18.272,Achievement,5,5,51,0.50%,09-06-2004,FRESENIUS MEDICAL CARE,16-11-2011
FMC ALEXANDER CITY,12617,-,3368 HWY 280 BYPASS SUITE G-1,ALEXANDER CITY,AL,35010,8,8,4.75%,Achievement,98.89%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,9,-,0.65,76,12,18.47,0.712,12,16.848,Achievement,5,5,84,No Reduction,10-11-2004,FRESENIUS MEDICAL CARE,24-05-2017
RRC NORTHRIDGE,12618,-,4400 WATERMELON ROAD SUITE A,NORTHPORT,AL,35473,8,3,13.23%,Achievement,93.21%,Achievement,46.20%,50.93%,Achievement,68.08%,75.26%,Achievement,57.24%,48.37%,Achievement,46.63%,54.58%,Achievement,57.03%,68.39%,Achievement,2,-,9,10,-,10,0,-,1.463,152,54,36.911,1.154,34,29.475,Achievement,5,5,33,1.50%,25-10-2006,NOT A CHAIN,18-10-2017
TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS,12619,-,1850 MCFARLAND BLVD NORTH ,TUSCALOOSA,AL,35406,8,No Score,No Rate,N/A,93.33%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,8,-,0.835,58,5,5.304,2.183,27,12.366,Improvement,5,5,78,No Reduction,19-12-2006,NOT A CHAIN,19-05-2015
HOME DIALYSIS OF NORTH ALABAMA,12620,-,"1216 SOMERVILLE ROAD, SE ",DECATUR,AL,35601,8,No Score,No Rate,N/A,84.67%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,5,-,9,10,-,10,6,-,0.876,27,6,5.96,0.531,3,5.648,Achievement,5,5,43,1.00%,15-02-2007,NOT A CHAIN,14-02-2007
RAI-SNOW ST-OXFORD,12621,-,711 SNOW STREET ,OXFORD,AL,36203,8,3,12.88%,Achievement,95.79%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,0,-,1.275,95,32,25.092,0.966,23,23.815,Achievement,5,5,39,1.00%,11-07-2007,FRESENIUS MEDICAL CARE,25-09-2010
DAVITA TALLADEGA,12622,-,726 E BATTLE STREET SUITE A,TALLADEGA,AL,35160,8,10,2.69%,Achievement,99.09%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,8,-,0.768,35,6,7.568,0.871,10,11.48,Achievement,5,5,76,No Reduction,19-12-2007,DAVITA,07-06-2013
DAVITA CENTER POINT DIALYSIS,12623,-,2337 1ST ST NE ,CENTER POINT,AL,35215,8,6,7.89%,Achievement,95.76%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,7,-,0.786,44,9,11.456,0.731,10,13.689,Achievement,5,5,66,No Reduction,20-02-2008,DAVITA,16-02-2008
FMC MIDFIELD DIALYSIS,12624,-,613 BESSEMER SUPER HIGHWAY ,BIRMINGHAM,AL,35228,8,9,3.16%,Achievement,98.58%,Achievement,61.93%,66.56%,Achievement,77.10%,76.65%,Achievement,79.09%,80.07%,Achievement,56.28%,62.40%,Achievement,59.45%,74.67%,Achievement,9,-,9,10,-,10,9,-,0.663,76,14,21.102,0.866,22,25.39,Achievement,5,5,75,No Reduction,29-01-2008,FRESENIUS MEDICAL CARE,27-01-2008
RAI JACKSONVILLE,12625,-,"331 HENRY RD, S.W. ",JACKSONVILLE,AL,36265,8,5,9.77%,Achievement,98.38%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,9,-,0.691,70,13,18.812,1.191,17,14.275,Achievement,5,5,59,No Reduction,19-08-2008,FRESENIUS MEDICAL CARE,30-05-2014
FMC NORTHWEST ALABAMA KIDNEY CENTER,12626,-,638 TAHOE ROAD ,WINFIELD,AL,35594,8,9,3.34%,Improvement,96.66%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,6,-,0.9,32,9,9.176,1.25,11,8.798,Achievement,5,5,71,No Reduction,25-06-2008,FRESENIUS MEDICAL CARE,18-04-2013
HOME DIALYSIS OPTIONS OF BALDWIN COUNTY,12627,-,"27880 N. MAIN ST, SUITE A ",DAPHNE,AL,36526,8,No Score,No Rate,N/A,97.11%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,10,-,10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,61,No Reduction,21-10-2008,DAVITA,02-08-2008
OPELIKA DIALYSIS CENTER,12628,-,2340 PEPPERELL PKWY ,OPELIKA,AL,36801,8,8,4.92%,Achievement,99.27%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,3,-,1.108,32,9,7.179,1.041,8,7.687,Achievement,5,5,65,No Reduction,29-10-2008,DAVITA,02-11-2008
